"eventId","subEventName","playerId","positions.y","positions.x","positions.y.1","positions.x.1","matchId","eventName","teamId","matchPeriod","eventSec","subEventId","id","goal","league","teamId.opp"
10,"Shot",38021,34,78,100,100,2499720,"Shot",1625,"2H",1265.535699,100,178148512,0,"England",1651
10,"Shot",8325,46,89,100,100,2499720,"Shot",1625,"2H",1455.304065,100,178148575,1,"England",1651
10,"Shot",8944,75,92,100,100,2499721,"Shot",1646,"1H",178.757148,100,178122128,0,"England",1610
10,"Shot",14748,25,75,0,0,2499721,"Shot",1610,"1H",641.300258,100,178122290,0,"England",1646
10,"Shot",9127,49,87,100,100,2499721,"Shot",1646,"1H",1394.0172,100,178122511,1,"England",1610
10,"Shot",8032,71,81,0,0,2499721,"Shot",1610,"1H",1977.152747,100,178122670,0,"England",1646
10,"Shot",8433,77,91,100,100,2499721,"Shot",1646,"1H",2318.473517,100,178122911,1,"England",1610
10,"Shot",7892,54,74,0,0,2499721,"Shot",1610,"1H",2425.196588,100,178122800,0,"England",1646
10,"Shot",9127,55,93,100,100,2499721,"Shot",1646,"1H",2531.371773,100,178122930,1,"England",1610
10,"Shot",31528,67,75,0,0,2499721,"Shot",1610,"1H",2646.142552,100,178122852,0,"England",1646
10,"Shot",31528,62,79,0,0,2499721,"Shot",1610,"1H",2673.42583,100,178122857,0,"England",1646
10,"Shot",9623,77,89,100,100,2499721,"Shot",1646,"1H",2846.076986,100,178122950,0,"England",1610
10,"Shot",14748,68,71,0,0,2499721,"Shot",1610,"2H",124.51188,100,178123016,0,"England",1646
10,"Shot",8032,78,78,0,0,2499721,"Shot",1610,"2H",225.436896,100,178123047,0,"England",1646
10,"Shot",38093,58,84,0,0,2499721,"Shot",1610,"2H",477.646605,100,178123128,0,"England",1646
10,"Shot",9127,54,93,100,100,2499721,"Shot",1646,"2H",668.943607,100,178123204,0,"England",1610
10,"Shot",3324,78,76,0,0,2499721,"Shot",1610,"2H",840.832544,100,178123216,0,"England",1646
10,"Shot",8032,64,89,0,0,2499721,"Shot",1610,"2H",972.455139,100,178123237,0,"England",1646
10,"Shot",7892,50,90,0,0,2499721,"Shot",1610,"2H",1105.005186,100,178123253,0,"England",1646
10,"Shot",9623,61,97,100,100,2499721,"Shot",1646,"2H",1237.433674,100,178123325,0,"England",1610
10,"Shot",3324,52,95,0,0,2499721,"Shot",1610,"2H",1384.099487,100,178123328,1,"England",1646
10,"Shot",8944,44,92,100,100,2499721,"Shot",1646,"2H",1827.033448,100,178123460,0,"England",1610
10,"Shot",31528,52,77,0,0,2499721,"Shot",1610,"2H",2067.63775,100,178123463,0,"England",1646
10,"Shot",3324,46,81,0,0,2499721,"Shot",1610,"2H",2356.566928,100,178123532,0,"England",1646
10,"Shot",7892,59,90,0,0,2499721,"Shot",1610,"2H",2540.902004,100,178123586,1,"England",1646
10,"Shot",9623,46,86,100,100,2499721,"Shot",1646,"2H",2666.131031,100,178123618,0,"England",1610
10,"Shot",9419,58,88,100,100,2499722,"Shot",1673,"1H",100.041696,100,178203881,0,"England",1628
10,"Shot",279709,42,81,100,100,2499722,"Shot",1673,"1H",1018.188989,100,178205427,0,"England",1628
10,"Shot",303357,71,76,100,100,2499722,"Shot",1673,"1H",1186.73449,100,178204233,0,"England",1628
10,"Shot",214654,53,93,100,100,2499722,"Shot",1673,"1H",1506.694938,100,178204317,1,"England",1628
10,"Shot",235555,66,86,0,0,2499722,"Shot",1628,"1H",1629.604227,100,178204327,0,"England",1673
10,"Shot",55979,45,93,100,100,2499722,"Shot",1673,"1H",1913.773886,100,178204397,0,"England",1628
10,"Shot",8422,34,91,0,0,2499722,"Shot",1628,"1H",2194.431111,100,178204462,0,"England",1673
10,"Shot",8422,71,87,0,0,2499722,"Shot",1628,"1H",2490.510159,100,178204570,0,"England",1673
10,"Shot",38031,54,91,0,0,2499722,"Shot",1628,"1H",2640.577538,100,178204609,0,"England",1673
10,"Shot",8142,68,82,0,0,2499722,"Shot",1628,"1H",2815.976416,100,178613773,0,"England",1673
10,"Shot",14796,73,68,100,100,2499722,"Shot",1673,"2H",127.71349,100,180597338,0,"England",1628
10,"Shot",214654,40,96,100,100,2499722,"Shot",1673,"2H",131.064913,100,178204696,0,"England",1628
10,"Shot",38031,51,93,0,0,2499722,"Shot",1628,"2H",558.053142,100,178204854,0,"England",1673
10,"Shot",8422,67,97,0,0,2499722,"Shot",1628,"2H",751.317744,100,178204898,0,"England",1673
10,"Shot",454,73,84,0,0,2499722,"Shot",1628,"2H",1427.056517,100,178205094,0,"England",1673
10,"Shot",8186,52,91,0,0,2499722,"Shot",1628,"2H",1920.091867,100,178205191,0,"England",1673
10,"Shot",214654,41,85,100,100,2499722,"Shot",1673,"2H",1963.95352,100,178205146,1,"England",1628
10,"Shot",8554,44,86,0,0,2499722,"Shot",1628,"2H",2215.934484,100,178205261,0,"England",1673
10,"Shot",38031,47,95,0,0,2499722,"Shot",1628,"2H",2288.661605,100,178205277,0,"England",1673
10,"Shot",5911,56,83,0,0,2499723,"Shot",1623,"1H",725.762958,100,178214801,0,"England",1639
10,"Shot",77548,36,76,100,100,2499723,"Shot",1639,"1H",871.508779,100,178214652,0,"England",1623
10,"Shot",77548,34,83,100,100,2499723,"Shot",1639,"1H",874.345314,100,178214661,0,"England",1623
10,"Shot",25706,29,79,0,0,2499723,"Shot",1623,"1H",1190.187435,100,178215005,0,"England",1639
10,"Shot",25706,42,83,0,0,2499723,"Shot",1623,"1H",1430.877737,100,178215090,0,"England",1639
10,"Shot",15054,28,83,100,100,2499723,"Shot",1639,"1H",2046.092182,100,178214880,0,"England",1623
10,"Shot",20450,77,88,100,100,2499723,"Shot",1639,"1H",2091.065818,100,178214895,0,"England",1623
10,"Shot",7944,52,94,0,0,2499723,"Shot",1623,"1H",2714.265932,100,178215655,1,"England",1639
10,"Shot",9532,71,86,100,100,2499723,"Shot",1639,"2H",23.1331409999998,100,178215088,0,"England",1623
10,"Shot",293687,38,89,0,0,2499723,"Shot",1623,"2H",507.559438,100,178215822,0,"England",1639
10,"Shot",7932,66,75,100,100,2499723,"Shot",1639,"2H",764.476102,100,178215274,0,"England",1623
10,"Shot",293687,49,90,0,0,2499723,"Shot",1623,"2H",973.996866,100,178215908,0,"England",1639
10,"Shot",293687,70,92,0,0,2499723,"Shot",1623,"2H",1401.088454,100,178215997,0,"England",1639
10,"Shot",5911,66,82,0,0,2499723,"Shot",1623,"2H",1685.252638,100,178216026,0,"England",1639
10,"Shot",15054,40,87,100,100,2499723,"Shot",1639,"2H",1765.445088,100,178215488,0,"England",1623
10,"Shot",8747,40,87,100,100,2499723,"Shot",1639,"2H",2403.763544,100,178215659,0,"England",1623
10,"Shot",15198,34,88,100,100,2499723,"Shot",1639,"2H",2444.72204,100,178215667,0,"England",1623
10,"Shot",49872,66,77,100,100,2499723,"Shot",1639,"2H",2857.883487,100,178215756,0,"England",1623
10,"Shot",105338,31,89,0,0,2499724,"Shot",1611,"1H",665.816769,100,178494555,0,"England",1633
10,"Shot",105338,50,74,0,0,2499724,"Shot",1611,"1H",876.321141,100,178494630,0,"England",1633
10,"Shot",38,75,83,0,0,2499724,"Shot",1611,"1H",911.092204,100,178494646,0,"England",1633
10,"Shot",38,64,71,0,0,2499724,"Shot",1611,"1H",1474.574483,100,178494821,0,"England",1633
10,"Shot",397178,74,91,0,0,2499724,"Shot",1611,"1H",1494.168982,100,178494830,0,"England",1633
10,"Shot",70122,51,75,0,0,2499724,"Shot",1611,"1H",1836.437677,100,178494917,0,"England",1633
10,"Shot",7905,64,92,0,0,2499724,"Shot",1611,"1H",1974.290969,100,178494948,1,"England",1633
10,"Shot",8561,70,79,100,100,2499724,"Shot",1633,"1H",2174.93755,100,178495072,0,"England",1611
10,"Shot",7938,31,78,0,0,2499724,"Shot",1611,"1H",2250.017266,100,178495024,0,"England",1633
10,"Shot",265318,34,78,100,100,2499724,"Shot",1633,"1H",2387.483752,100,178495136,0,"England",1611
10,"Shot",265318,49,86,100,100,2499724,"Shot",1633,"1H",2767.227167,100,178495214,0,"England",1611
10,"Shot",397178,68,90,0,0,2499724,"Shot",1611,"2H",241.00752,100,178495289,0,"England",1633
10,"Shot",7905,49,92,0,0,2499724,"Shot",1611,"2H",422.083928,100,178495325,1,"England",1633
10,"Shot",14703,42,87,100,100,2499724,"Shot",1633,"2H",779.452414,100,178495431,0,"England",1611
10,"Shot",7905,35,87,0,0,2499724,"Shot",1611,"2H",961.747279,100,178495454,0,"England",1633
10,"Shot",7936,34,86,0,0,2499724,"Shot",1611,"2H",975.492937,100,178495462,0,"England",1633
10,"Shot",397178,68,87,0,0,2499724,"Shot",1611,"2H",1022.406112,100,178495479,0,"England",1633
10,"Shot",105338,49,82,0,0,2499724,"Shot",1611,"2H",1070.422356,100,178495494,0,"England",1633
10,"Shot",397178,72,85,0,0,2499724,"Shot",1611,"2H",1210.905148,100,178496002,0,"England",1633
10,"Shot",397178,74,85,0,0,2499724,"Shot",1611,"2H",1211.862908,100,178496028,0,"England",1633
10,"Shot",38,68,89,0,0,2499724,"Shot",1611,"2H",1538.373244,100,178495622,0,"England",1633
10,"Shot",7905,58,75,0,0,2499724,"Shot",1611,"2H",1761.647328,100,178495679,0,"England",1633
10,"Shot",14703,34,90,100,100,2499724,"Shot",1633,"2H",1941.586958,100,178495779,0,"England",1611
10,"Shot",7936,71,89,0,0,2499724,"Shot",1611,"2H",2417.467148,100,178495872,0,"England",1633
10,"Shot",134513,59,88,0,0,2499724,"Shot",1611,"2H",2513.380731,100,178495924,1,"England",1633
10,"Shot",8582,69,93,100,100,2499724,"Shot",1633,"2H",2632.085475,100,178495975,0,"England",1611
10,"Shot",7936,63,71,0,0,2499724,"Shot",1611,"2H",2669.79998,100,178495956,1,"England",1633
10,"Shot",7941,38,77,100,100,2499724,"Shot",1633,"2H",2818.217147,100,178496014,0,"England",1611
10,"Shot",12536,68,87,0,0,2499725,"Shot",1613,"1H",283.438159,100,178442509,0,"England",1624
10,"Shot",11152,50,82,100,100,2499725,"Shot",1624,"1H",527.583552,100,178442326,0,"England",1613
10,"Shot",54,55,74,100,100,2499725,"Shot",1624,"1H",981.146381,100,178442483,0,"England",1613
10,"Shot",8717,52,95,100,100,2499725,"Shot",1624,"1H",1285.833264,100,178442583,0,"England",1613
10,"Shot",54,68,85,100,100,2499725,"Shot",1624,"1H",1558.399351,100,178442682,0,"England",1613
10,"Shot",8717,58,88,100,100,2499725,"Shot",1624,"1H",2101.809141,100,178442821,0,"England",1613
10,"Shot",54,75,77,100,100,2499725,"Shot",1624,"1H",2449.016394,100,178442956,0,"England",1613
10,"Shot",13484,48,72,100,100,2499725,"Shot",1624,"1H",2487.481132,100,178442965,0,"England",1613
10,"Shot",54,54,71,100,100,2499725,"Shot",1624,"1H",2680.316921,100,178444076,0,"England",1613
